name,english_cname,file_name,genus,species,label
XC17804,Abert's Towhee,XC17804.mp3,Melozone,aberti,Melozone aberti
XC177367,Abert's Towhee,XC177367.mp3,Melozone,aberti,Melozone aberti
XC145505,Abert's Towhee,XC145505.mp3,Melozone,aberti,Melozone aberti
XC228159,Abert's Towhee,XC228159.mp3,Melozone,aberti,Melozone aberti
XC51313,Abert's Towhee,XC51313.mp3,Melozone,aberti,Melozone aberti
XC111831,Abert's Towhee,XC111831.mp3,Melozone,aberti,Melozone aberti
XC289047,Abert's Towhee,XC289047.mp3,Melozone,aberti,Melozone aberti
XC119222,Abert's Towhee,XC119222.mp3,Melozone,aberti,Melozone aberti
XC314730,Abert's Towhee,XC314730.mp3,Melozone,aberti,Melozone aberti
XC288434,Abert's Towhee,XC288434.mp3,Melozone,aberti,Melozone aberti
XC138142,Abert's Towhee,XC138142.mp3,Melozone,aberti,Melozone aberti
XC217707,Abert's Towhee,XC217707.mp3,Melozone,aberti,Melozone aberti
XC228158,Abert's Towhee,XC228158.mp3,Melozone,aberti,Melozone aberti
XC228157,Abert's Towhee,XC228157.mp3,Melozone,aberti,Melozone aberti
XC217705,Abert's Towhee,XC217705.mp3,Melozone,aberti,Melozone aberti
XC110755,Abert's Towhee,XC110755.mp3,Melozone,aberti,Melozone aberti
XC288439,Abert's Towhee,XC288439.mp3,Melozone,aberti,Melozone aberti
XC452092,Abert's Towhee,XC452092.mp3,Melozone,aberti,Melozone aberti
XC408554,Abert's Towhee,XC408554.mp3,Melozone,aberti,Melozone aberti
XC408552,Abert's Towhee,XC408552.mp3,Melozone,aberti,Melozone aberti
XC452519,Abert's Towhee,XC452519.mp3,Melozone,aberti,Melozone aberti
XC129399,Abert's Towhee,XC129399.mp3,Melozone,aberti,Melozone aberti
XC17802,Abert's Towhee,XC17802.mp3,Melozone,aberti,Melozone aberti
XC475183,Abert's Towhee,XC475183.mp3,Melozone,aberti,Melozone aberti
XC111830,Abert's Towhee,XC111830.mp3,Melozone,aberti,Melozone aberti
XC217703,Abert's Towhee,XC217703.mp3,Melozone,aberti,Melozone aberti
XC240260,Abert's Towhee,XC240260.mp3,Melozone,aberti,Melozone aberti
XC289247,Abert's Towhee,XC289247.mp3,Melozone,aberti,Melozone aberti
XC452564,Abert's Towhee,XC452564.mp3,Melozone,aberti,Melozone aberti
XC176539,Abert's Towhee,XC176539.mp3,Melozone,aberti,Melozone aberti
XC217729,Acorn Woodpecker,XC217729.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217736,Acorn Woodpecker,XC217736.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC206686,Acorn Woodpecker,XC206686.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
