mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
-389.8904,85.38266,22.85807,30.947252,-8.941733,-5.5389786,3.032122,16.903013,6.7895565,13.9157505,8.382235,10.595499,-1.3671348,8.684329,8.585604,12.801269,13.026369,9.767435,4.3205624,-5.610257
-301.7656,85.299286,17.424528,32.628967,-12.5323105,-0.25789005,7.2545285,10.747078,1.2860272,14.329069,0.9414633,8.122908,-1.058244,11.022753,8.595105,8.743859,9.991121,9.2463455,2.4209898,3.2370656
-268.94678,85.2444,10.238644,34.494404,-6.179493,4.8763847,-0.6933862,-0.4787565,1.8018558,14.753546,-6.101018,8.055656,-0.028276742,9.7747345,4.52361,2.4417198,4.453497,4.2201977,-3.048062,8.253054
-261.60904,86.60196,4.9648924,31.882849,-3.2309215,6.451593,-6.1916256,-3.7492633,0.82259786,9.915242,-8.952568,9.938399,-2.483303,3.7602575,3.512547,-0.24533182,4.401288,10.901571,-3.6271386,6.845124
-273.11462,76.27583,-0.038075835,28.082123,-9.852467,6.822364,-2.190743,-2.9058435,-0.09499331,8.887888,0.2479755,13.197845,-4.1033573,3.1105847,6.544475,0.8419961,0.050525397,10.43552,-4.4826365,6.1527367
-283.6832,77.43533,9.098537,30.523544,-5.2314744,11.098662,9.35063,0.97297823,1.8868222,13.725315,3.903985,8.335723,-2.542194,-2.9413373,-0.17747957,0.9344206,-0.03234382,4.527362,-9.577348,4.595834
-280.48917,81.39093,8.652878,25.220613,-1.8605996,16.717623,8.093636,4.4197397,-3.8758113,7.9728327,1.8350631,11.650867,-0.23174882,-7.1699667,-1.3559533,4.5289593,-1.3147495,2.4602313,-6.034183,1.6446439
-278.22455,81.55269,2.8977623,16.261126,-7.508522,14.077852,3.9892693,5.7130203,-3.3842847,5.368428,-1.185377,5.114462,-2.3632538,-1.8752704,-0.8057189,5.4149437,3.1570034,3.580072,-5.6017284,1.7776306
-276.09393,81.62971,5.661212,15.318394,-3.3575926,12.290308,1.5304767,6.143215,-2.4648318,-1.099383,-2.633629,1.7965658,0.35364246,1.2895818,-3.5494993,1.4975863,3.2972589,4.412611,-6.4364324,6.6966467
-268.48734,90.96446,14.68618,22.157375,6.113405,16.394276,10.062885,13.786045,-5.9014072,0.69494903,-2.8181238,-0.9411709,-3.1851401,3.7039673,-2.5622578,3.221781,4.938597,7.329151,-1.1559149,5.8663597
