,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
XC17804,-560.3948,95.88473,24.738546,16.425762,9.442437,16.547743,-4.0252094,-0.24628904,2.1880863,5.4705443,-5.98621,-2.928407,-5.132428,7.455007,-0.8763057,3.2269218,-2.0749226,4.8581667,0.021868287,3.2192636
XC177367,-401.86444,37.291836,-24.29423,24.382402,-7.2287483,-10.009256,-4.8988914,-0.6605612,-10.803092,0.7323365,-13.360209,2.4753146,-5.0992737,2.004298,-7.4322743,5.555757,-3.467803,3.6994336,-5.3858023,4.1432204
XC145505,-393.35086,-2.7789001,-32.80132,-4.8408346,-29.046133,-12.17871,-18.1336,-12.345953,-23.872993,-10.395619,-16.14581,-0.4699036,-19.410566,2.0563831,-13.872186,1.986983,-10.47089,-1.7064115,-10.377917,-6.7514925
XC228159,-332.8986,42.196167,-55.66722,41.7698,0.43939674,15.323205,-11.7241535,9.8102045,-2.8824856,1.8294016,1.8638488,5.7758355,3.3590896,3.4182463,0.698204,9.67431,0.9571445,8.606036,-0.79644275,8.636573
XC51313,-293.31027,52.699146,-6.912079,15.857449,-23.3896,-2.2131853,1.6362259,-0.5764374,-4.6481276,-2.6423142,-2.9721043,2.2882357,-7.763371,2.037694,-4.517314,1.1515708,-5.325857,2.8725967,-5.224696,2.0022423
XC111831,-655.826,1.2627741,-39.32316,-21.405897,-34.5089,-16.402094,-5.0694375,-4.42052,-6.6723194,0.55935615,-6.782388,-2.6845083,-4.0113697,0.8887414,-6.613185,2.5178947,0.5851337,0.99699616,0.91894424,4.060136
XC289047,-371.82703,-29.896437,-41.434883,-27.998188,-39.246616,-21.372253,-26.658394,-11.090191,-19.259567,-4.9822783,-10.530373,3.1681383,-11.702982,3.0845046,-8.965898,0.46890822,-11.650464,0.68707865,-9.198376,-2.4951777
XC119222,-554.4976,-4.24561,-31.480803,-10.121232,-11.078397,-0.7068066,3.6343644,6.863931,0.46757135,2.2954555,-1.7064039,-0.009787481,-1.0973886,-2.4149342,-3.229509,2.5378926,-0.56606853,-0.9509132,-1.5031971,0.04123806
XC314730,-565.01526,47.99452,-1.3533977,9.425562,-29.742737,-6.133289,-16.381804,-9.709238,-15.702104,-4.6365323,-12.505063,0.9100286,-14.728229,0.5178639,-9.8477,-3.219094,-10.088773,-2.9317353,-10.184644,-1.6495931
XC288434,-382.57593,12.132681,-10.154408,-2.4012752,-36.64256,1.9610643,-19.191849,-12.619395,-17.335098,-14.97572,-15.0583725,-5.9976482,-17.19009,-5.9866586,-7.775168,-13.157316,4.7574697,-13.985298,-0.19653735,-4.4770484
XC138142,-587.25,-87.00128,-13.011712,50.61283,-8.235583,5.036142,14.771813,1.0049723,-23.570345,-3.5390673,0.95827746,6.5025826,-2.782714,7.0092893,-3.1242394,-1.7151456,-5.345729,2.661148,-3.676041,1.3464949
XC217707,-508.88702,20.68686,-45.94597,3.2140934,0.5629723,1.9120606,-2.8425624,0.26271012,-11.7404175,-0.29145676,-7.821999,1.7013141,-7.619958,-0.8042318,-7.4034486,1.63744,-4.7453365,-0.16730297,-4.29001,0.2689251
XC228158,-476.53204,61.32971,-38.571545,57.270294,-8.008152,22.871298,11.882192,13.840853,12.781591,5.226216,11.97719,0.4446528,5.757202,4.5937567,-0.3098913,4.178857,-2.5930746,2.0446124,-2.1763856,0.9275703
XC228157,-491.20682,-7.144659,-100.527756,31.673136,-13.170385,28.244202,14.260931,10.488269,9.194818,7.7624383,14.076373,5.2045197,7.007166,6.2004094,3.5720189,9.033333,1.1730494,6.989091,1.1341981,4.0189247
XC217705,-512.93274,29.63829,-41.2067,-5.9073105,-2.4296336,-4.495476,-5.2964964,-2.5464768,-0.7798822,-2.5854373,-3.834471,7.8145895,-2.6424797,1.8793815,-3.0782087,-1.9583439,-3.7431524,3.8869693,-1.375483,2.5618718
