ccqt_0,ccqt_1,ccqt_2,ccqt_3,ccqt_4,ccqt_5,ccqt_6,ccqt_7,ccqt_8,ccqt_9,ccqt_10,ccqt_11
0.5564051,0.61565876,0.97812456,0.9541843,1.0,0.60632974,0.08020288,0.3167767,0.18008777,0.17405146,0.17719978,0.16598107
0.606539,0.66991997,0.9523862,0.9230962,1.0,0.65527093,0.16914155,0.36335495,0.28818703,0.24784824,0.33749393,0.26218852
0.72441655,0.8417072,0.9727305,0.90248525,1.0,0.69541335,0.2649514,0.35656813,0.31364116,0.28990325,0.27834603,0.54529375
0.32416192,0.37073338,0.36584514,0.33730015,0.38145384,0.25320116,0.18434732,0.2258338,0.841167,1.0,0.5529645,0.25331452
0.39187202,0.4463647,0.33973786,0.2978324,0.36184287,0.26593342,0.16839257,0.14434901,0.1876868,0.22476007,0.21992578,1.0
0.29011294,0.32524535,0.19417195,0.17417584,0.20486806,0.14837098,0.096260786,0.08805389,0.08155524,0.09866573,0.14120422,1.0
0.7507351,0.83146024,0.4097749,0.44219527,0.4138519,0.34670365,0.25638786,0.30316645,0.21668604,0.31338513,0.44186947,1.0
0.88664913,1.0,0.45263448,0.5308483,0.4477597,0.30571288,0.21306582,0.27330434,0.23111379,0.30921316,0.44860974,0.58002234
0.8418007,1.0,0.5047413,0.6315928,0.4440666,0.2291198,0.23176914,0.30701822,0.28240362,0.32026413,0.4236283,0.4848949
0.8455526,1.0,0.4980112,0.7117404,0.5012701,0.26937267,0.35488883,0.44126186,0.32793787,0.3183524,0.45600855,0.48803166
0.9371722,1.0,0.53027713,0.8924609,0.5307874,0.676144,0.8034779,0.5248684,0.4208855,0.3979254,0.63928396,0.6385194
0.99756235,0.89438045,0.36032683,0.6598277,0.5026885,0.35996658,0.3697188,0.3486614,0.28564486,0.36383894,0.47056413,1.0
1.0,0.7827185,0.17127196,0.63475364,0.5522253,0.28457168,0.29524875,0.38298687,0.52512074,0.782401,0.76708364,0.5660855
1.0,0.74066496,0.22518957,0.6417902,0.52954626,0.35307628,0.37189877,0.32550392,0.17917965,0.2078683,0.22469552,0.30058053
1.0,0.68980706,0.24446583,0.5335801,0.59898,0.34931368,0.36561143,0.3964333,0.2418301,0.1627796,0.3448039,0.2949686
0.2201045,0.1464666,0.051524095,0.108074635,0.14065933,0.09515561,0.09058496,0.11336991,0.101247124,0.5677989,1.0,0.5271793
0.28503564,0.19118643,0.08374863,0.14570025,0.19504741,0.15257217,0.12035272,0.081864856,0.09003497,0.13216676,0.16858041,1.0
0.8529517,0.566872,0.23041093,0.4361363,0.5813391,0.4964414,0.36636138,0.26888826,0.37413746,1.0,0.7718881,0.5938117
1.0,0.6463306,0.20721485,0.46498418,0.61989635,0.5392473,0.41586155,0.33369005,0.30389416,0.24481313,0.4631971,0.75936186
1.0,0.64555955,0.18819599,0.3921276,0.5581634,0.50083303,0.3574952,0.24136692,0.26833034,0.38594246,0.48739153,0.48245302
0.30809277,0.21107161,0.08898396,0.10988091,0.15747467,0.145622,0.09655606,0.084503055,0.49747226,1.0,0.5892357,0.10711553
0.34649935,0.24994175,0.13163497,0.111816436,0.16453746,0.15957305,0.103567205,0.08672133,0.10441764,0.15125783,0.22432521,1.0
0.32405108,0.2488672,0.13748851,0.07618355,0.14026743,0.1147627,0.079981364,0.044684183,0.047325272,0.32229617,1.0,0.9030672
1.0,0.83263224,0.5500751,0.19273348,0.45303488,0.31270394,0.20978048,0.15131223,0.2000136,0.2601707,0.4312876,0.526996
1.0,0.8667382,0.69771796,0.23169617,0.46211258,0.3572859,0.29063055,0.19893344,0.28128502,0.3747126,0.31266674,0.49615663
1.0,0.9691978,0.72652525,0.33201706,0.5599294,0.4088047,0.25680983,0.32463366,0.26621085,0.33140862,0.22836235,0.33424965
0.9001516,1.0,0.756467,0.44257453,0.6015035,0.592401,0.46940953,0.38133487,0.2950042,0.31486565,0.3463328,0.6348065
0.89498264,1.0,0.9475084,0.53475493,0.76502514,0.7444264,0.52770805,0.47888032,0.39048913,0.4511784,0.38361686,0.65188664
0.4970421,0.5262416,0.48508143,0.20566635,0.33662346,0.3614262,0.30292207,0.25146282,0.21829005,0.5376749,0.9513829,1.0
0.121124625,0.12810153,0.14247787,0.0375104,0.09203392,0.10827534,0.10753169,0.09160527,0.051262397,0.28744137,1.0,0.9540452
0.0778231,0.08024424,0.082134135,0.023787428,0.048158497,0.055522293,0.06707661,0.053876575,0.034145433,0.084423795,0.7659372,1.0
0.9123032,0.98140764,1.0,0.4711339,0.53806436,0.72147876,0.8076926,0.6215735,0.50084233,0.38940966,0.8883397,0.95559216
0.68555814,1.0,0.8848332,0.4773873,0.3107789,0.40528455,0.46816784,0.42334288,0.38446608,0.583123,0.3197388,0.77020603
0.9425076,1.0,0.9452344,0.5395668,0.31730345,0.41325217,0.5981474,0.39553654,0.30873653,0.45740572,0.3930112,0.3872841
0.8187191,1.0,0.83685154,0.47770673,0.25882176,0.3396233,0.4280127,0.22514646,0.20378141,0.19970906,0.24092309,0.16934936
0.77156097,1.0,0.7742761,0.4832611,0.42110795,0.8967291,0.8601596,0.38981634,0.1956774,0.13622709,0.27293098,0.2561092
0.69970953,1.0,0.6842026,0.4410837,0.2785556,0.39162752,0.4068992,0.20728453,0.1195904,0.12848556,0.07817089,0.09718524
0.70531154,1.0,0.581449,0.4758798,0.316363,0.33761534,0.31767547,0.1359312,0.13695244,0.16433215,0.13727896,0.1796289
0.67576694,1.0,0.47208357,0.52017474,0.37950486,0.33867458,0.327286,0.19771585,0.14522691,0.164429,0.12754723,0.10391959
0.6534352,1.0,0.36238468,0.5582168,0.36399662,0.32809034,0.36776024,0.2464911,0.19398928,0.1838041,0.20990722,0.21044208
0.29173622,0.4882605,0.16600548,0.29111683,0.18718696,0.20689546,0.24515636,0.22899218,0.3225331,1.0,0.857725,0.25291485
0.20254122,0.3498317,0.15353256,0.2103286,0.1351346,0.12628412,0.13500983,0.07632999,0.03301907,0.064369075,0.15928929,1.0
0.29497442,0.6006042,0.35255608,0.36470684,0.29441684,0.27172664,0.2550367,0.14071442,0.10627625,0.37995777,1.0,0.72726387
0.44694144,1.0,0.7231695,0.59200853,0.5441272,0.5340956,0.41489,0.1966946,0.17049994,0.19178188,0.23080297,0.5670386
0.41460192,1.0,0.8134216,0.60109925,0.5974423,0.6667898,0.43345737,0.15841056,0.20403071,0.22910853,0.17285033,0.2854024
0.41460797,1.0,0.8697046,0.55749506,0.58262306,0.7244783,0.4310174,0.14794835,0.25435612,0.20318946,0.18860954,0.25416222
0.12715843,0.28600603,0.25550067,0.13705829,0.17274465,0.21256281,0.14401641,0.062179584,0.10732331,0.49035424,1.0,0.6060611
0.11786361,0.23031798,0.19618994,0.096252754,0.13203804,0.15716584,0.10187069,0.06042878,0.07036132,0.12983839,0.25755662,1.0
0.44819495,0.9024103,0.7025036,0.29857215,0.42751357,0.5220813,0.37347227,0.22094177,0.38502413,1.0,0.7216917,0.5065231
0.49485862,1.0,0.70946974,0.2828011,0.37465692,0.53912437,0.39821833,0.21617074,0.10224289,0.2570409,0.2537052,0.27829394
0.49137512,1.0,0.68208927,0.19837855,0.27651983,0.48150948,0.38444483,0.24707848,0.1362204,0.292737,0.42569107,0.43244806
