cstft_0,cstft_1,cstft_2,cstft_3,cstft_4,cstft_5,cstft_6,cstft_7,cstft_8,cstft_9,cstft_10,cstft_11
0.72019815,0.19440977,0.01842124,0.014163599,0.015297719,0.021353904,0.021228308,0.021379275,0.029739857,0.055515,0.29015166,1.0
1.0,0.39920568,0.025978079,0.017875992,0.019119468,0.024322882,0.02142521,0.023395594,0.02813552,0.047197077,0.15773885,0.47792038
1.0,0.4936867,0.09867903,0.049342703,0.05284441,0.04379249,0.047790334,0.062056307,0.19037503,0.5859818,0.9520541,0.8395902
1.0,0.237762,0.008844972,0.0034202957,0.003593201,0.0027017195,0.003514507,0.005692485,0.023198908,0.10004024,0.2401595,0.4418617
1.0,0.31675577,0.0037206104,0.0005647392,0.00028031657,0.00020432462,0.00024148627,0.00040093457,0.0016800255,0.0092856875,0.03058785,0.1428655
1.0,0.28771576,0.0029189684,0.00042864747,0.00017377142,0.000124285,0.00010306938,0.000111872076,0.0002376435,0.0014279445,0.01261222,0.1285403
1.0,0.18363905,0.002449512,0.000977337,0.00061431,0.00062627794,0.0005082634,0.0007164104,0.0015127374,0.013736796,0.1057153,0.35948464
1.0,0.24428804,0.008414672,0.008965399,0.005427394,0.004347459,0.0035962474,0.006920399,0.011773318,0.03600206,0.15662089,0.44454405
1.0,0.28247473,0.019980019,0.029030515,0.014628686,0.008289383,0.0083111925,0.017447848,0.030581564,0.02443244,0.05565993,0.28443027
1.0,0.32984516,0.048468865,0.07904452,0.04194579,0.12281938,0.1493638,0.037974562,0.04523647,0.037761245,0.05209319,0.18444496
0.5044312,0.5421173,0.33260444,0.28765166,0.27269068,1.0,0.9438357,0.09289347,0.041039616,0.060815766,0.10265276,0.16320586
0.67695534,1.0,0.5167306,0.26987907,0.23208958,0.5384038,0.44242793,0.063567914,0.073115885,0.17599003,0.32077914,0.3141859
0.21895565,1.0,0.3047354,0.00866509,0.0034107282,0.0033869706,0.004707377,0.0064775622,0.017273989,0.03616072,0.051025502,0.04722808
0.21873097,1.0,0.30487174,0.0037908168,0.0005772729,0.00073172885,0.0006693294,0.001316038,0.003982332,0.014121817,0.028939443,0.0429493
0.46265948,1.0,0.28116304,0.017156597,0.010821482,0.0092494385,0.009974222,0.08652557,0.25400618,0.532798,0.8356527,0.55422616
0.24729337,0.012653997,0.0046810736,0.0019554521,0.0014906543,0.0015814336,0.0017934473,0.01716141,0.0603392,0.17989028,0.52672416,1.0
0.39020708,0.007286871,0.0012639948,0.00035726983,0.00034584888,0.00038346773,0.00027693558,0.0010355102,0.004378777,0.025650261,0.18667279,1.0
0.35025704,0.010201161,0.0022807687,0.0005739208,0.00063436106,0.00068217685,0.0005144121,0.0007144177,0.0046240734,0.041112468,0.2813823,1.0
0.29233462,0.02946702,0.009237771,0.0036612125,0.0033400068,0.004031579,0.0044170325,0.0077743325,0.024174403,0.11371594,0.43101245,1.0
0.13973022,0.024602422,0.015397815,0.0111936275,0.0122201545,0.01849994,0.029493457,0.08588076,0.37173584,1.0,0.9189959,0.46934783
0.08403633,0.0028458473,0.0019195852,0.0015186693,0.0015966544,0.0027163674,0.0048463736,0.017368587,0.108046554,0.48597378,1.0,0.97609234
0.116179325,0.0009101398,0.00047159873,0.00035953324,0.00032371277,0.00047203005,0.00051943265,0.0013433141,0.010408593,0.08028308,0.44088408,1.0
0.10035378,0.0011700265,0.00093204645,0.0005701417,0.0004519275,0.00061337725,0.0006998015,0.0021827645,0.012298611,0.063410096,0.46914193,1.0
0.06823715,0.0045802784,0.0055456595,0.00299673,0.0034672136,0.004565165,0.005526038,0.016434157,0.07080848,0.24123083,0.82869077,1.0
0.14898668,0.021037187,0.02413474,0.014091091,0.024887493,0.028285794,0.0335538,0.031799983,0.056532197,0.12956735,0.4297853,1.0
0.18926935,0.051156096,0.041278314,0.039737917,0.043417696,0.05018599,0.06048292,0.055198487,0.08106341,0.14049801,0.41356817,1.0
0.23810512,0.059480138,0.04096443,0.0625177,0.042962465,0.05019325,0.060627718,0.04727272,0.05874619,0.086018115,0.30849758,1.0
0.34707117,0.13366225,0.08709024,0.07687572,0.06880444,0.07065915,0.0759507,0.22775388,0.44396552,0.71558386,0.5982871,1.0
0.11992422,0.09210593,0.011300029,0.0068413964,0.0066058603,0.007193564,0.010553105,0.05806542,0.1890858,0.81851083,1.0,0.38466308
0.25023696,0.2616962,0.009759913,0.00072215556,0.00065878,0.0007913767,0.0012226219,0.007222087,0.031557158,0.2275555,1.0,0.85614663
0.29606992,0.2452263,0.008311783,0.00017176624,0.00015898702,0.00021668353,0.00027115387,0.001198767,0.007696882,0.06771551,0.94263554,1.0
0.21897607,0.12534815,0.0167101,0.005481831,0.0039428296,0.00464301,0.0048737493,0.012524444,0.05070209,0.20433457,1.0,0.82216245
0.9096829,1.0,0.3821384,0.13228725,0.08316904,0.10330086,0.09964565,0.10025511,0.19009137,0.29800078,0.64468265,0.9613526
0.9594835,0.89793897,0.21907069,0.07738388,0.05529244,0.07521668,0.07489455,0.07410866,0.17721383,0.32457617,0.85493505,1.0
0.27906355,0.26165,0.10001541,0.121429026,0.121949784,0.44187522,1.0,0.5342794,0.07464711,0.18157066,0.5386251,0.43195766
0.35851383,0.3570524,0.34408697,0.29517996,0.21694206,0.6949194,1.0,0.45157933,0.039703447,0.064448774,0.26576364,0.27590925
1.0,0.81343,0.6377509,0.45713,0.26414034,0.5725335,0.4653476,0.19304872,0.07309557,0.15089802,0.7786367,0.9825943
0.5364985,0.40800425,0.18630376,0.1463529,0.13723704,0.19227666,0.21408515,0.15025622,0.13475965,0.22702278,0.8812181,1.0
0.57803535,0.50895524,0.21349542,0.15458052,0.19302265,0.32893163,0.37179774,0.19279388,0.20074409,0.36418843,1.0,0.77396995
0.1711531,0.07521866,0.08275188,0.03205394,0.030806934,0.021352548,0.026403433,0.055224836,0.18824588,0.5094932,0.90173036,1.0
0.43264386,0.011757771,0.006377473,0.0024470072,0.0021738491,0.0013492409,0.0019813825,0.0054109576,0.023086945,0.08091265,0.26751065,1.0
0.6531915,0.011987025,0.0005810719,0.0003065151,0.0002611671,0.00017898758,0.00023986932,0.00056636025,0.0025927885,0.013196781,0.10013324,1.0
0.54347974,0.009103701,0.00027765863,0.00024702438,0.00025296354,0.00025752146,0.00024644347,0.0004613289,0.004030583,0.02821973,0.16111392,1.0
0.39649522,0.010086673,0.0038087561,0.003619101,0.0038410407,0.0042561996,0.0037528328,0.0055050887,0.031450167,0.15061665,0.4227986,1.0
0.7095526,0.047803145,0.027138334,0.022431456,0.0263971,0.02920021,0.026645135,0.028614514,0.038455352,0.06768755,0.15042743,1.0
0.0968497,0.030738788,0.019163992,0.0065769153,0.0066315867,0.009379418,0.01917131,0.037466563,0.17330208,0.6327726,1.0,0.56327224
0.17926715,0.003339158,0.0016087546,0.00057713175,0.0006026279,0.00085673097,0.0020692593,0.00450111,0.026613744,0.14096032,0.48099342,1.0
0.21536487,0.001425894,0.00024289734,0.00012310516,0.00013306344,0.00013459894,0.00020658108,0.00038954074,0.0018171134,0.015788693,0.17613605,1.0
0.1886466,0.0017020106,0.00052212295,0.0003029781,0.00028997313,0.0002618874,0.00036854023,0.0008441648,0.005736852,0.038121216,0.2423075,1.0
0.1680859,0.00892096,0.0064358204,0.0057098223,0.006017341,0.006076333,0.0062623834,0.011712063,0.045359608,0.19491076,0.5462442,1.0
0.3217319,0.07714043,0.019488074,0.01707955,0.025141675,0.032073963,0.053031825,0.10028707,0.16385727,0.2411156,0.4127968,1.0
1.0,0.9011749,0.032626007,0.0052843266,0.008436603,0.013215611,0.028204588,0.066713415,0.12264481,0.17262496,0.2221213,0.40268496
1.0,0.7690274,0.024444578,0.0021399383,0.0019733084,0.002347283,0.0041951626,0.010891291,0.032339044,0.13111801,0.30333734,0.35347956
1.0,0.45475686,0.017321205,0.0067870426,0.0051785745,0.004733735,0.007287923,0.017732479,0.08000705,0.47005782,0.9321446,0.7092526
1.0,0.5885627,0.07672557,0.04724082,0.041875064,0.034034666,0.040947337,0.057424568,0.130595,0.4260123,0.49719438,0.9620896
1.0,0.9500118,0.09540411,0.06615375,0.07428763,0.06020233,0.06565312,0.07335771,0.104472324,0.18899353,0.24492003,0.7306902
0.4258223,0.08558943,0.03380746,0.025335295,0.0358901,0.03232571,0.031104794,0.048548542,0.12153506,0.43200812,0.76523906,1.0
1.0,0.064927086,0.0036063248,0.0026878116,0.003952243,0.00357639,0.0038952874,0.007005526,0.02074577,0.096803196,0.25767905,0.8039121
1.0,0.065075524,0.00053629855,0.00037973843,0.00037607035,0.00035392755,0.00036406025,0.00059061777,0.0019197505,0.013663321,0.07431412,0.543763
1.0,0.05702691,0.0007921394,0.00069443096,0.00056964724,0.000526542,0.00056018267,0.00084425474,0.004633259,0.04334705,0.21226226,0.81712884
1.0,0.07370936,0.0037537972,0.0050330674,0.0038044257,0.0036241605,0.004294556,0.005400433,0.017182728,0.09913583,0.27725,0.6040124
1.0,0.090557635,0.015829895,0.023435459,0.013820834,0.010722455,0.011161298,0.01675336,0.024744812,0.045350004,0.11536997,0.4719134
1.0,0.120524675,0.03957092,0.047867093,0.034412596,0.027929632,0.028558098,0.036659427,0.04734329,0.06387121,0.10229812,0.43529662
