mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
-454.64053,-25.586319,-20.816727,55.629036,-7.4438963,49.754482,36.015278,-1.7671833,4.6491914,39.72695,-5.9415045,22.449448,15.522577,-2.604281,20.889221,9.843903,-1.3705012,10.314981,-7.5971384,0.72999626
-431.6236,-40.253914,-22.74694,61.351784,-3.8114128,50.10034,28.987492,-1.7119477,4.378055,32.097416,-3.8293543,27.180489,15.134107,0.7875372,17.0719,6.8997498,-1.7386267,13.43554,-4.065646,3.6863444
-384.25107,-83.56578,-36.799583,99.053276,-9.210501,50.58232,19.918024,0.64418316,-5.603985,29.384443,0.26249036,23.21046,22.898191,0.6581751,14.081193,8.512432,0.4427551,6.0358286,6.4939814,15.964971
-362.68094,-115.474014,-39.304634,120.79904,-11.654751,53.325798,20.26913,-2.6529872,-9.110601,40.804565,-7.457307,29.507847,21.723242,-3.1201582,20.068035,7.163167,-1.9326575,7.487635,9.293617,14.714363
-377.47495,-103.552666,-31.787386,108.52655,-14.874144,54.72813,27.432787,-13.4901085,1.3872678,46.843994,-13.967657,34.211823,11.676721,-3.7595503,20.089344,4.586672,-3.728674,9.629753,0.9002603,7.1521297
-395.5399,-75.638596,-21.169893,90.29498,-15.756628,50.49647,21.03144,-21.836779,15.837453,39.25862,-19.603472,39.08982,4.5753975,-5.883827,16.284267,0.8398073,-12.739528,14.656094,0.44460723,7.9636545
-404.3049,-62.10665,-22.831322,67.34512,-16.89153,45.78988,21.75589,-20.301743,11.332236,35.45508,-25.850815,37.19526,13.410042,-16.181942,23.868813,10.753761,-17.395763,20.7982,17.271042,7.693984
-414.14145,-44.0141,-25.749657,49.01501,-9.844517,42.824802,17.348862,-8.276058,14.763726,27.142803,-19.811695,32.45104,20.751238,-11.012044,28.248491,15.356596,-15.830299,22.151186,20.619255,1.9895794
-410.35046,-35.832325,-28.01242,39.358932,-7.013213,39.311325,20.08025,8.319107,12.430706,22.759342,-6.0052,26.433746,9.487817,0.5485189,22.905626,5.9766073,-7.9594383,13.341873,9.692423,9.162352
-393.66278,-44.566635,-43.905853,51.53177,-2.0537677,30.983858,19.822247,20.79672,5.0758433,14.521742,9.325291,19.247952,2.1044807,8.873318,19.41442,6.7244563,-1.7364397,19.699755,2.1085148,8.956415
-355.14893,-49.96371,-48.039276,82.91357,2.2363656,38.54825,13.980743,27.792599,17.057861,4.5468636,16.303768,24.514568,-5.371523,13.992595,3.1122966,-4.779926,-1.754568,13.626692,-2.9113865,-0.7232623
-301.9544,-32.22377,-41.487793,64.161316,-15.844225,40.732338,4.13008,26.84659,8.25316,10.7947235,-1.2901008,29.979595,-1.0638157,10.090746,8.493229,-10.9293995,-4.3206415,8.258951,-1.4622608,-1.9631038
-308.49023,-37.936485,-22.626759,44.842636,-26.864868,44.832123,5.8839607,16.550644,-1.1589562,29.91642,-29.397085,44.272106,-1.2351913,-1.0397187,15.850165,-10.526718,-8.193186,9.022619,-2.0414484,5.1997604
