melspec_0,melspec_1,melspec_2,melspec_3,melspec_4,melspec_5,melspec_6,melspec_7,melspec_8,melspec_9,melspec_10,melspec_11,melspec_12,melspec_13,melspec_14,melspec_15,melspec_16,melspec_17,melspec_18,melspec_19,melspec_20,melspec_21,melspec_22,melspec_23,melspec_24,melspec_25,melspec_26,melspec_27,melspec_28,melspec_29,melspec_30,melspec_31,melspec_32,melspec_33,melspec_34,melspec_35,melspec_36,melspec_37,melspec_38,melspec_39,melspec_40,melspec_41,melspec_42,melspec_43,melspec_44,melspec_45,melspec_46,melspec_47,melspec_48,melspec_49,melspec_50,melspec_51,melspec_52,melspec_53,melspec_54,melspec_55,melspec_56,melspec_57,melspec_58,melspec_59,melspec_60,melspec_61,melspec_62,melspec_63,melspec_64,melspec_65,melspec_66,melspec_67,melspec_68,melspec_69,melspec_70,melspec_71,melspec_72,melspec_73,melspec_74,melspec_75,melspec_76,melspec_77,melspec_78,melspec_79,melspec_80,melspec_81,melspec_82,melspec_83,melspec_84,melspec_85,melspec_86,melspec_87,melspec_88,melspec_89,melspec_90,melspec_91,melspec_92,melspec_93,melspec_94,melspec_95,melspec_96,melspec_97,melspec_98,melspec_99,melspec_100,melspec_101,melspec_102,melspec_103,melspec_104,melspec_105,melspec_106,melspec_107,melspec_108,melspec_109,melspec_110,melspec_111,melspec_112,melspec_113,melspec_114,melspec_115,melspec_116,melspec_117,melspec_118,melspec_119,melspec_120,melspec_121,melspec_122,melspec_123,melspec_124,melspec_125,melspec_126,melspec_127
3.7338535e-11,2.0508796e-11,7.798989e-12,1.6125629e-11,2.8601501e-11,3.680914e-11,3.470501e-11,3.3389413e-11,2.4330213e-11,1.3445325e-11,3.4217902e-12,5.000271e-12,9.921206e-12,9.9096235e-12,1.3038782e-11,1.2863785e-11,1.2877431e-11,1.3834237e-11,6.53287e-12,2.7044118e-12,9.203922e-13,3.229972e-13,3.6245093e-12,2.7026994e-12,2.2420776e-12,3.6201492e-13,2.7827358e-12,4.2893107e-12,9.52199e-12,8.13985e-12,6.3315967e-12,6.9895175e-12,8.379567e-13,1.0837865e-12,6.29842e-12,1.4328697e-12,4.2765498e-13,8.9599855e-12,1.4204071e-11,2.2542825e-11,3.0322533e-11,3.311623e-11,1.0289229e-11,6.722016e-12,1.1319987e-11,1.27095496e-11,2.5513501e-11,5.4586977e-11,5.306638e-11,1.6647286e-11,6.249162e-12,3.6129013e-11,5.424105e-11,1.539972e-11,5.919608e-12,2.4128364e-11,3.271959e-11,1.6198643e-11,1.3462543e-11,7.1948493e-12,1.3422803e-12,2.3699502e-12,1.16202265e-11,3.5202348e-11,2.3326095e-11,1.4866093e-11,3.1672186e-11,1.35154206e-11,1.1255247e-11,1.2744936e-11,1.4768749e-11,1.1660516e-11,1.25150584e-11,6.4390424e-12,2.2061164e-11,1.3834252e-11,4.1222147e-11,1.9469463e-11,2.4920841e-11,2.9599514e-11,1.6627191e-11,2.682131e-11,2.3923526e-11,1.6997632e-11,2.7031447e-11,1.4490384e-11,1.613358e-11,2.4531682e-11,2.1776162e-11,3.011733e-11,3.6731066e-11,5.4113436e-11,3.810136e-11,4.294994e-11,2.9156257e-11,1.7395028e-11,5.9366036e-12,7.216418e-12,7.6306435e-12,8.351942e-12,1.0193271e-11,2.2453426e-11,5.914051e-11,3.567221e-11,2.512163e-11,2.4616743e-11,6.940186e-11,1.6178546e-10,1.1749275e-10,1.9582966e-10,4.2608705e-10,3.4504692e-09,3.858246e-09,3.4311318e-09,2.8974463e-09,2.3802256e-09,4.9447046e-10,4.4585138e-11,1.2416984e-10,9.2475326e-11,2.7506013e-11,4.6876943e-11,7.1637966e-11,2.3183847e-11,1.891088e-11,2.96673e-11,1.036926e-11,7.2880466e-13
4.064224e-10,5.738603e-10,2.2916859e-10,1.3891528e-10,9.016934e-10,4.6193843e-10,1.1949265e-10,4.8667737e-10,5.9253574e-10,1.4534045e-10,1.5096226e-10,4.3798257e-10,4.555842e-10,9.716268e-11,1.15703336e-10,1.5781049e-10,1.2077071e-10,4.8213916e-10,2.1315025e-10,3.1499997e-10,2.9991296e-10,3.7412232e-10,9.009256e-10,5.146407e-10,1.12900196e-10,1.6589567e-10,7.133745e-11,3.1825825e-10,3.8904874e-10,1.1976903e-10,1.0834107e-10,3.4454023e-10,8.171284e-10,4.8080995e-10,3.6121026e-10,3.8933703e-10,6.1989425e-10,4.3183906e-10,1.3440091e-10,3.9948647e-10,2.8139965e-10,3.7576967e-10,7.07936e-10,6.667369e-10,7.1477796e-10,4.2146597e-10,7.3368717e-10,1.1341165e-09,1.0586642e-09,1.7562128e-10,6.634013e-10,1.3147953e-09,1.1264343e-09,4.757771e-10,3.340525e-10,2.3008855e-10,1.1962987e-09,7.747346e-10,7.502411e-10,5.1288623e-10,4.8183635e-10,1.9062048e-10,3.2207706e-10,7.235219e-10,1.213958e-09,6.232884e-10,1.0747813e-09,5.856406e-10,1.9663401e-10,1.8787293e-10,2.723535e-10,1.0790304e-10,2.5717953e-10,2.195937e-10,4.5554935e-10,1.0279179e-09,1.3263425e-09,9.2599883e-10,4.6079165e-10,3.9263157e-10,4.0975878e-10,1.0661192e-09,2.2623778e-09,6.475826e-09,9.8298525e-09,6.8930732e-09,8.057104e-09,8.113434e-09,8.40169e-09,9.792384e-09,4.479341e-09,1.3360101e-09,4.971017e-10,1.0291371e-09,6.2474614e-10,3.5581874e-10,5.246286e-10,1.4013396e-09,9.194409e-10,5.329191e-10,7.773356e-10,7.8438345e-10,2.2905295e-09,1.1017517e-09,1.2314697e-09,6.436011e-10,1.4988155e-09,2.7936178e-09,2.0854833e-09,7.1810478e-09,3.150539e-08,1.1047862e-07,1.18607645e-07,6.582872e-08,5.894913e-08,4.361413e-08,7.69205e-09,8.318224e-10,1.1806432e-09,8.446842e-10,5.7969124e-10,1.0164967e-09,1.2818602e-09,5.3364524e-10,4.4353457e-10,4.391599e-10,1.7298848e-10,1.2587568e-11
2.6496474e-09,4.45765e-09,2.648306e-09,7.278925e-10,3.06632e-09,2.8214378e-09,3.4859546e-10,1.4227414e-09,1.9203603e-09,1.0809926e-09,1.1154134e-09,4.232507e-09,3.5448255e-09,5.737995e-10,2.0978541e-10,4.9516025e-10,1.1625785e-09,2.305408e-09,1.7118931e-09,2.9167004e-09,1.8192278e-09,2.347653e-09,6.686962e-09,4.470654e-09,5.476726e-09,2.4307294e-09,2.1799302e-09,4.193496e-09,2.5005256e-09,1.5589822e-09,3.9427706e-09,5.7750547e-09,6.4457897e-09,3.002218e-09,4.6238107e-09,5.2591274e-09,3.7285837e-09,2.3244764e-09,7.5502793e-10,2.2140951e-09,1.2763361e-09,1.4860477e-09,3.0445e-09,1.936139e-09,1.7964387e-09,2.5617835e-09,3.815375e-09,4.1388706e-09,2.7787965e-09,1.4325251e-09,4.1385273e-09,2.9592407e-08,1.47343036e-08,1.0909531e-08,5.3110574e-09,1.6922936e-09,4.018396e-09,3.0392813e-09,6.2049534e-09,4.6392925e-09,5.61784e-09,3.4219814e-09,2.3521285e-09,1.3131845e-09,3.0552e-09,2.0247866e-09,3.2838885e-09,2.3912525e-09,1.8608847e-09,2.0678534e-09,1.6490371e-09,4.8373733e-10,1.0029494e-09,1.15479e-09,1.8384214e-09,4.866063e-09,3.5982846e-09,2.205753e-09,1.4805758e-09,3.2697889e-09,8.147519e-09,1.0699031e-07,2.8898964e-07,3.548328e-07,2.90776e-07,1.1194663e-07,1.16625735e-07,9.523657e-08,7.5087385e-08,5.2831695e-08,3.711515e-08,1.5449661e-08,5.442076e-09,3.6269988e-08,3.029532e-08,2.7205894e-08,2.137937e-08,5.3893114e-08,1.2165701e-07,6.6350495e-08,1.17576235e-07,1.0038907e-07,2.226137e-07,2.412776e-07,2.4524854e-07,3.7948138e-07,6.3610617e-07,8.5664027e-07,8.3709256e-07,9.516135e-07,1.9203715e-06,2.691571e-06,3.0241486e-06,6.6735743e-06,1.1016971e-05,1.956198e-06,3.6304066e-08,2.7793727e-09,2.1501385e-09,1.6469514e-09,2.1606663e-09,2.6500215e-09,2.4199975e-09,1.6039093e-09,1.8539962e-09,1.2353213e-09,5.880933e-10,3.8263417e-11
4.516071e-09,8.427059e-09,1.6617216e-08,2.8725385e-08,2.4953545e-08,1.6630096e-08,1.4462376e-08,2.3312698e-08,3.8745185e-08,2.6874845e-08,3.8035974e-08,2.7239238e-08,8.668879e-09,8.9387395e-09,2.366403e-08,2.1706846e-08,6.295804e-09,1.6290161e-09,5.0235154e-09,1.5760264e-08,1.6191631e-08,8.8911385e-09,2.3010115e-08,3.8042952e-08,1.0183424e-07,3.382395e-08,6.938729e-08,9.5128186e-08,9.333559e-09,3.255768e-08,1.1025295e-07,1.3447786e-07,4.7588234e-08,1.5678355e-08,6.437103e-08,3.7841396e-08,1.909657e-08,4.3470237e-08,1.9210361e-08,7.940474e-09,3.4508133e-08,3.803974e-08,2.9672371e-08,1.9246313e-08,1.6381925e-08,3.334926e-08,4.0591214e-08,1.5700634e-08,1.2230425e-08,1.2384815e-08,3.272612e-08,2.1347535e-07,1.2262895e-07,3.2812235e-08,2.4281109e-08,2.5202048e-08,1.1739666e-07,4.460463e-08,4.0328654e-08,4.196046e-08,3.4101426e-08,3.794146e-08,4.3614573e-08,2.5976027e-08,1.4441441e-08,7.928032e-09,1.1848724e-08,2.939593e-08,2.941257e-08,2.7374096e-08,2.3653254e-08,1.4027235e-08,7.510433e-09,2.7831086e-09,8.7016065e-09,1.3608213e-08,2.2669894e-08,1.4383806e-08,4.5571253e-09,2.5352616e-08,6.40519e-08,3.6399942e-07,6.812176e-07,6.035805e-07,3.3922544e-07,1.2253429e-07,1.2878294e-07,1.0557742e-07,8.031219e-08,5.678023e-08,4.7709545e-08,4.931055e-08,2.7402335e-08,1.4132918e-07,1.6427194e-07,1.0961447e-07,8.80098e-08,1.7453381e-07,4.1408902e-07,2.5214803e-07,4.7495968e-07,4.671282e-07,1.0797919e-06,1.1668235e-06,1.1556881e-06,1.9820166e-06,3.3941242e-06,4.784876e-06,6.1252754e-06,8.831223e-06,3.788983e-05,6.9458125e-05,0.0001360943,0.00026681798,0.00031215633,3.86329e-05,2.5603092e-07,4.15746e-09,2.4083977e-09,1.9893729e-09,4.341687e-09,3.5680685e-09,2.2932318e-09,1.3928328e-09,1.8585362e-09,1.5982572e-09,9.1913754e-10,6.376866e-11
1.2799646e-08,4.6587694e-08,3.2558933e-07,3.8393867e-07,2.2446929e-07,1.0012757e-07,2.2792862e-07,1.644259e-07,1.3665048e-07,5.116541e-08,2.9644156e-07,1.0080657e-07,4.016118e-08,6.8510516e-08,1.6702528e-07,8.2915776e-08,6.5598705e-08,4.7347708e-08,2.0968889e-08,7.372138e-08,1.03788224e-07,3.8922888e-08,1.463736e-07,1.381787e-07,2.5457328e-07,1.6930885e-07,3.90606e-07,4.5898395e-07,2.2378934e-07,1.7982526e-07,2.9495015e-07,2.487203e-07,8.10662e-08,3.6565577e-08,1.8109135e-07,3.3799495e-07,1.6995847e-07,9.792029e-08,1.0165957e-07,1.7942243e-07,3.7770704e-07,1.6137083e-07,4.1635428e-08,5.4239443e-08,6.722397e-08,1.122467e-07,2.0339489e-07,1.17106765e-07,6.228933e-08,2.99903e-08,8.362022e-08,4.7223804e-07,3.4968494e-07,7.610203e-08,4.841634e-08,9.207175e-08,4.6637476e-07,4.2423162e-07,8.5823594e-08,8.961403e-08,8.194725e-08,2.3658103e-07,1.9700136e-07,2.249547e-07,5.8057044e-08,1.4949121e-07,8.569676e-08,1.7655603e-07,1.3305024e-07,8.811526e-08,1.5903572e-07,1.9570567e-07,8.116293e-08,5.4836992e-08,2.433411e-08,5.5578365e-08,1.12303304e-07,1.523842e-07,1.2137959e-07,1.1890105e-07,1.2338289e-07,1.8882494e-07,2.9432064e-07,1.8772106e-07,1.5809853e-07,1.698973e-07,1.5721903e-07,1.090382e-07,1.5023028e-07,1.4901265e-07,7.74144e-08,3.041215e-07,5.256454e-07,2.3675109e-07,2.2035759e-07,9.6377924e-08,7.155992e-08,1.1444772e-07,1.5207978e-07,1.5796141e-07,2.1575575e-07,2.1218455e-07,6.0731156e-07,5.769769e-07,5.405802e-07,1.2057998e-06,3.6014703e-06,7.781556e-06,1.8634268e-05,4.734018e-05,0.00023493932,0.0002953263,0.0003921763,0.00046122825,0.0003824162,3.6536578e-05,3.026137e-07,1.9418774e-08,1.4569311e-08,8.319205e-09,2.8455762e-08,1.7221021e-08,7.4395845e-09,5.051085e-09,9.64433e-09,1.33332625e-08,1.4746342e-09,3.1457215e-10
3.713852e-08,3.2580755e-07,1.7761362e-06,1.0829347e-06,3.0629872e-07,5.2237317e-07,3.4205644e-07,6.44486e-07,6.415715e-07,1.14827046e-07,7.860346e-07,3.1996726e-07,2.8095908e-08,2.6776823e-07,4.7734915e-07,1.5561318e-07,7.9400587e-07,3.4168818e-07,6.2376834e-08,1.2038029e-07,1.9083033e-07,1.9100624e-07,7.6106494e-07,1.1744154e-06,8.1687267e-07,1.9494844e-06,2.72469e-06,2.281916e-06,1.3819074e-06,7.952263e-07,8.7750453e-07,1.4230693e-06,9.109756e-07,3.2641577e-07,8.019163e-07,2.89468e-06,7.896093e-07,3.813893e-07,5.451115e-07,4.9566086e-07,5.28054e-07,3.2428832e-07,7.7108456e-07,5.063499e-07,4.657947e-07,5.122015e-07,5.3008245e-07,4.3405748e-07,1.2074008e-07,1.9542422e-07,4.4309684e-07,8.3654754e-07,8.3580244e-07,6.344885e-07,7.909668e-07,7.9114193e-07,2.4152616e-06,2.3294979e-06,4.6194535e-07,1.4471307e-07,1.5841259e-07,3.6754588e-07,5.3278e-07,4.447444e-07,3.4436184e-07,7.2003115e-07,2.5194626e-07,4.1779117e-07,7.9636186e-07,4.6988998e-07,7.170487e-07,4.4704836e-07,4.235677e-07,3.9925746e-07,2.0404342e-07,2.9419184e-07,3.7358726e-07,9.1647325e-07,2.3364648e-06,2.8058903e-06,4.270714e-07,5.8326674e-07,9.105556e-07,1.4942646e-06,8.4251957e-07,2.1101704e-07,3.8737022e-07,2.2253326e-07,3.810414e-07,2.7756306e-07,1.7475378e-07,1.3355266e-06,2.2080558e-06,1.001886e-06,8.873436e-07,3.9618467e-07,4.0857313e-07,4.713862e-07,1.3689149e-07,1.2141753e-07,8.9332175e-08,9.8109055e-08,1.1371452e-07,1.6229052e-07,1.6109284e-07,5.706049e-07,2.3943603e-06,6.337475e-06,1.6157628e-05,4.2410953e-05,0.00014263591,0.00012718263,0.00012829177,8.29857e-05,7.744851e-05,5.793069e-06,1.8801977e-07,6.459976e-08,7.354413e-08,7.944208e-08,1.2007962e-07,8.215268e-08,5.448846e-08,5.5908075e-08,1.0720243e-07,8.8882395e-08,1.9478502e-08,2.0700668e-09
6.470279e-08,8.678408e-07,2.7670508e-06,1.7576818e-06,6.898781e-07,5.997588e-07,1.1289202e-06,1.7554562e-06,1.4254621e-06,3.1643026e-07,1.2256637e-06,7.710225e-07,4.549215e-08,2.0623219e-07,2.8572694e-07,4.955938e-07,2.1942622e-06,5.4123433e-07,4.6142176e-07,2.837534e-07,6.76331e-07,9.533076e-07,1.3299675e-06,1.8490074e-06,1.8482159e-06,3.604517e-06,2.727848e-06,3.2266903e-06,5.1785096e-06,5.3939148e-06,1.3777965e-06,1.960707e-06,3.343284e-06,1.2680518e-06,1.3918611e-06,6.4148244e-06,2.306941e-06,5.246178e-07,2.0147122e-06,1.679498e-06,5.332863e-07,7.671005e-07,3.942361e-06,4.3590567e-06,2.2816582e-06,2.0963762e-06,3.4416864e-06,1.0113251e-06,1.4901865e-07,5.073065e-07,1.2930302e-06,1.4535576e-06,1.1544585e-06,1.6131517e-06,2.7977358e-06,2.8719398e-06,6.03403e-06,8.859638e-06,3.4222458e-06,1.4875155e-06,1.2392952e-06,1.8005524e-06,2.462907e-06,2.0550522e-06,2.8658046e-06,1.4318653e-06,1.0385041e-06,8.2734e-07,1.1257207e-06,1.8707555e-06,2.7876922e-06,1.7886509e-06,1.086873e-06,9.955692e-07,4.6785956e-07,7.626712e-07,1.4635496e-06,1.8761627e-06,3.901912e-06,6.3924854e-06,2.4212202e-06,4.3488863e-06,3.4597308e-06,7.013186e-06,2.857124e-06,5.0696366e-07,4.94546e-06,7.1305208e-06,3.43661e-06,3.1723373e-06,1.5055671e-06,1.9610695e-06,4.6327664e-06,5.062609e-06,3.7848001e-06,2.84905e-06,5.1707675e-06,5.0544786e-06,5.65878e-07,1.8518779e-07,4.0742546e-07,9.2949205e-07,7.666032e-07,3.2304777e-07,4.5788326e-07,5.8102967e-07,5.480964e-07,1.253943e-06,1.5616334e-06,7.562314e-06,1.6543769e-05,1.6144433e-05,1.7594888e-05,9.470503e-06,1.497524e-05,2.3323075e-06,3.0394128e-07,1.4116355e-07,1.285678e-07,2.1834515e-07,2.3192797e-07,1.6581035e-07,1.3325494e-07,1.9244749e-07,3.355479e-07,2.1266808e-07,6.802453e-08,6.278874e-09
8.6458414e-08,1.4421249e-06,7.3743595e-06,2.8152285e-06,1.8175392e-06,1.1928503e-06,3.1491102e-06,4.759863e-06,2.7762267e-06,1.0124312e-06,3.3123504e-06,2.1958117e-06,8.057887e-07,6.5800066e-07,4.868988e-07,3.5807736e-06,2.7799379e-06,1.5656274e-06,1.6861791e-06,5.802278e-07,9.887991e-07,4.76202e-06,3.946232e-06,5.871457e-06,4.122493e-06,3.4456523e-06,1.7212109e-06,8.851122e-06,9.644751e-06,5.311604e-06,7.8985477e-07,1.9603538e-06,4.5503843e-06,7.4229542e-06,3.668917e-06,7.769615e-06,3.8781363e-06,5.9120964e-07,3.3474385e-06,3.0107835e-06,1.2839413e-06,3.049282e-06,2.5182587e-06,3.6069443e-06,5.4643615e-06,6.460179e-06,7.0617707e-06,3.117936e-06,2.0965604e-06,9.19367e-07,1.2384539e-06,6.5788176e-06,7.946529e-06,5.191687e-06,2.81938e-06,1.18590715e-05,1.0675905e-05,2.0123269e-05,9.536294e-06,7.690014e-06,3.6383176e-06,2.5400625e-06,8.415431e-06,6.0319494e-06,5.4300663e-06,1.7056419e-06,2.950626e-06,3.6944375e-06,7.5849443e-06,1.4749981e-05,5.31354e-06,2.2087195e-06,5.713168e-06,1.6071766e-06,7.221823e-07,1.9961535e-06,2.82274e-06,2.9714365e-06,4.341921e-06,5.8899545e-06,4.416925e-06,9.638336e-06,4.773058e-06,9.310007e-06,2.9408095e-06,1.7470975e-06,1.1910452e-05,2.1872625e-05,1.5334295e-05,1.7949791e-05,1.343817e-05,7.1289896e-06,4.2745847e-05,7.418834e-05,5.637766e-05,5.2500873e-06,5.6152517e-06,5.0514273e-06,1.2830827e-06,4.8801658e-06,1.7066206e-05,1.26660125e-05,4.7891854e-06,1.2502651e-06,8.486251e-07,6.8384463e-07,8.3067073e-07,1.1398156e-06,5.538516e-07,2.0987916e-06,5.6671574e-06,8.611214e-06,9.242698e-06,4.2979023e-06,6.7254705e-06,1.5465856e-06,5.5773324e-07,3.816025e-07,4.256977e-07,4.769779e-07,3.6275344e-07,3.8021938e-07,3.4007883e-07,3.51589e-07,3.695034e-07,3.319573e-07,1.3081075e-07,1.0990216e-08
1.8598097e-07,1.2568148e-06,1.0632145e-05,5.318296e-06,5.513707e-06,5.305296e-06,3.4067223e-06,1.0996724e-05,6.322139e-06,4.764469e-06,3.4979878e-06,7.926418e-06,1.0547579e-05,5.8500946e-06,1.7547015e-06,5.3395324e-06,9.590126e-06,3.4778948e-06,2.5441486e-06,9.775945e-07,7.472055e-07,2.8742386e-06,9.968331e-06,6.3060666e-06,4.3133346e-06,1.4337969e-05,4.3509167e-06,1.8728702e-05,1.420595e-05,3.785132e-06,2.6921366e-06,3.4375316e-06,6.9743487e-06,1.7743941e-05,8.808548e-06,4.447386e-06,4.050301e-06,1.0022314e-05,7.546847e-06,4.839074e-06,3.94199e-06,7.047724e-06,3.1570944e-06,1.5945192e-06,9.856925e-06,1.8545094e-05,1.6655695e-05,1.1140141e-05,9.304331e-06,1.2268523e-06,3.4858604e-06,8.502409e-06,1.6276977e-05,1.19859415e-05,8.227835e-06,2.5693571e-05,2.9084793e-05,5.7885678e-05,2.238016e-05,2.0901045e-05,8.607489e-06,1.2668786e-05,1.5640397e-05,1.10600595e-05,5.861822e-06,5.8532187e-06,4.5171123e-06,6.1568117e-06,1.1271325e-05,2.433804e-05,1.8039047e-05,7.9928595e-06,1.1327233e-05,4.160341e-06,2.3668422e-06,6.880622e-06,5.0035865e-06,3.3409733e-06,5.4110346e-06,3.6984252e-06,4.971724e-06,6.8614977e-06,5.1544375e-06,8.12639e-06,8.363206e-06,6.437587e-06,5.8190326e-06,8.071163e-06,7.867748e-06,1.374693e-05,1.6179803e-05,1.582609e-05,7.3868265e-05,0.00012684245,0.00011245252,6.9543585e-06,3.358872e-06,1.706642e-06,3.4014893e-06,2.3602071e-05,4.0051713e-05,2.0342526e-05,6.6509574e-06,2.41757e-06,1.7445209e-06,9.959546e-07,9.4853317e-07,1.0273725e-06,9.4749845e-07,1.6664405e-06,3.4299962e-06,4.3590017e-06,5.3100957e-06,3.8447233e-06,5.3739486e-06,2.1182361e-06,1.4162468e-06,1.4321756e-06,1.876185e-06,2.0644522e-06,5.8909444e-07,4.890964e-07,5.892396e-07,7.2440196e-07,4.879518e-07,7.9573755e-07,3.7019356e-07,1.5165917e-08
2.8870312e-07,1.4191282e-06,8.125179e-06,1.3757298e-05,6.504719e-06,7.279484e-06,2.4072824e-06,5.8943697e-06,6.284217e-06,1.2962134e-05,1.30236e-05,2.4886183e-05,1.3925306e-05,7.767244e-06,4.838536e-06,1.0565052e-05,1.5358093e-05,5.1106726e-06,2.8197076e-06,2.4812252e-06,9.441616e-07,1.423173e-06,1.05386225e-05,1.1161352e-05,1.1752475e-05,1.2485133e-05,5.342425e-06,1.9179006e-05,4.2319734e-05,1.539139e-05,1.6823833e-05,3.7311559e-06,5.4064876e-06,8.622829e-06,5.579665e-06,1.1234612e-05,7.261805e-06,2.0817366e-05,1.5589334e-05,1.1692711e-05,3.6984943e-06,6.2571394e-06,1.9851308e-05,8.386732e-06,4.827153e-06,1.662489e-05,3.3718225e-05,1.417256e-05,9.324096e-06,6.7560336e-06,6.656253e-06,8.3524665e-06,3.037541e-05,1.2841316e-05,2.9953439e-05,4.630802e-05,2.7449867e-05,2.6372334e-05,1.5039485e-05,1.8240253e-05,2.5128757e-05,3.3285654e-05,1.36734125e-05,2.1185751e-05,8.206132e-06,1.3348644e-05,5.2086507e-06,1.0540229e-05,9.826419e-06,1.4750831e-05,2.2622391e-05,1.4491937e-05,1.3068655e-05,7.4283253e-06,3.6494303e-06,5.21859e-06,4.705312e-06,8.089921e-06,1.408637e-05,6.2897475e-06,6.4757546e-06,6.1534392e-06,9.313388e-06,1.4069429e-05,1.4222196e-05,8.972817e-06,5.660337e-06,9.363319e-06,1.1240202e-05,7.767284e-06,7.739483e-06,9.264852e-06,2.2670256e-05,3.7602018e-05,2.4740084e-05,4.663762e-06,2.529249e-06,2.3532898e-06,4.6688297e-06,1.4705279e-05,2.2377182e-05,8.760187e-06,4.0555024e-06,2.5537195e-06,1.8577448e-06,9.210882e-07,1.183824e-06,8.738947e-07,1.2348967e-06,2.9431462e-06,2.2389142e-06,3.4047296e-06,4.22253e-06,3.1138475e-06,3.750278e-06,1.929659e-06,1.2246495e-06,1.6606525e-06,2.2771965e-06,2.0958396e-06,1.0914013e-06,7.9411785e-07,8.765193e-07,8.9548246e-07,8.0788664e-07,1.0208266e-06,5.394755e-07,2.0398847e-08
